player_id,game_pk,fly_outs,ground_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,plate_appearances,total_bases,rbi,left_on_base,sac_bunts,sac_flies,game_date,playerID,nameFirst,nameLast,birthDate,birthYear,birthMonth,birthDay,debut,finalGame,bbrefID,debut_year,final_year
112020,22958,0,3,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,1,1,0,2005-04-27,carpech01,Chris,Carpenter,1975-04-27,1975,4,27,1997-05-12,2012-10-02,carpech01,1997,2012
112020,264112,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2010-04-27,carpech01,Chris,Carpenter,1975-04-27,1975,4,27,1997-05-12,2012-10-02,carpech01,1997,2012
115732,265629,1,0,0,1,0,0,0,0,0,2,0,5,0,0,5,3,0,3,0,0,2010-08-20,heltoto01,Todd,Helton,1973-08-20,1973,8,20,1997-08-02,2013-09-29,heltoto01,1997,2013
116338,265181,0,1,0,0,0,0,1,0,0,1,0,4,0,0,4,1,0,2,0,0,2010-07-18,hunteto01,Torii,Hunter,1975-07-18,1975,7,18,1997-08-22,2015-10-03,hunteto01,1997,2015
116338,415012,1,0,0,0,0,0,1,0,0,1,1,3,0,0,4,1,0,0,0,0,2015-07-18,hunteto01,Torii,Hunter,1975-07-18,1975,7,18,1997-08-22,2015-10-03,hunteto01,1997,2015
116662,264054,0,2,2,0,0,2,0,1,0,2,0,4,1,0,5,8,2,3,0,0,2010-04-23,jonesan01,Andruw,Jones,1977-04-23,1977,4,23,1996-08-15,2012-10-03,jonesan01,1996,2012
121347,265306,1,3,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,2010-07-27,rodrial01,Alex,Rodriguez,1975-07-27,1975,7,27,1994-07-08,2016-08-12,rodrial01,1994,2016
121347,415137,0,3,1,0,0,1,1,0,0,1,0,5,1,0,5,4,1,3,0,0,2015-07-27,rodrial01,Alex,Rodriguez,1975-07-27,1975,7,27,1994-07-08,2016-08-12,rodrial01,1994,2016
123173,264488,1,0,2,0,0,0,0,2,0,0,0,2,0,0,4,0,0,1,0,0,2010-05-25,tejadmi01,Miguel,Tejada,1974-05-25,1974,5,25,1997-08-27,2013-08-10,tejadmi01,1997,2013
123744,287211,0,3,0,0,0,0,0,1,0,0,0,3,1,0,4,0,0,2,0,0,2011-04-24,vizquom01,Omar,Vizquel,1967-04-24,1967,4,24,1989-04-03,2012-10-03,vizquom01,1989,2012
133225,287328,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2011-05-03,dempsry01,Ryan,Dempster,1977-05-03,1977,5,3,1998-05-23,2013-09-29,dempsry01,1998,2013
133225,318106,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,3,0,0,2012-05-03,dempsry01,Ryan,Dempster,1977-05-03,1977,5,3,1998-05-23,2013-09-29,dempsry01,1998,2013
134181,413670,1,3,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,2015-04-07,beltrad01,Adrian,Beltre,1979-04-07,1979,4,7,1998-06-24,2018-09-30,beltrad01,1998,2018
134181,448298,1,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,4,0,0,2016-04-07,beltrad01,Adrian,Beltre,1979-04-07,1979,4,7,1998-06-24,2018-09-30,beltrad01,1998,2018
136860,413893,2,0,0,0,0,0,1,1,0,0,0,3,0,0,4,0,0,4,0,0,2015-04-24,beltrca01,Carlos,Beltran,1977-04-24,1977,4,24,1998-09-14,2017-10-01,beltrca01,1998,2017
136860,447146,1,1,0,0,0,0,1,0,0,1,0,4,0,0,4,1,0,1,0,0,2016-04-24,beltrca01,Carlos,Beltran,1977-04-24,1977,4,24,1998-09-14,2017-10-01,beltrca01,1998,2017
150029,447500,1,0,0,1,0,0,2,0,0,2,0,5,0,0,5,3,0,3,0,0,2016-05-20,werthja01,Jayson,Werth,1979-05-20,1979,5,20,2002-09-01,2017-10-01,werthja01,2002,2017
150029,490747,0,3,0,0,0,0,0,0,0,1,0,4,0,0,4,1,1,1,0,0,2017-05-20,werthja01,Jayson,Werth,1979-05-20,1979,5,20,2002-09-01,2017-10-01,werthja01,2002,2017
150148,319778,2,1,1,0,0,0,0,0,0,1,0,4,0,0,4,1,0,5,0,0,2012-09-05,barajro01,Rod,Barajas,1975-09-05,1975,9,5,1999-09-25,2012-10-03,barajro01,1999,2012
150302,70002,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,2007-08-21,marquja01,Jason,Marquis,1978-08-21,1978,8,21,2000-06-06,2015-05-25,marquja01,2000,2015
150302,319572,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,2012-08-21,marquja01,Jason,Marquis,1978-08-21,1978,8,21,2000-06-06,2015-05-25,marquja01,2000,2015
150324,318758,0,0,0,0,0,0,0,1,0,1,0,3,0,0,4,1,0,1,0,0,2012-06-20,leeca01,Carlos,Lee,1976-06-20,1976,6,20,1999-05-07,2012-10-03,leeca01,1999,2012
207267,234507,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2008-05-24,pennybr01,Brad,Penny,1978-05-24,1978,5,24,2000-04-07,2014-09-26,pennybr01,2000,2014
217096,244706,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2009-05-13,zitoba01,Barry,Zito,1978-05-13,1978,5,13,2000-07-22,2015-09-30,zitoba01,2000,2015
217096,318248,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,2012-05-13,zitoba01,Barry,Zito,1978-05-13,1978,5,13,2000-07-22,2015-09-30,zitoba01,2000,2015
276346,287553,2,0,0,0,0,0,0,0,0,2,0,4,0,0,4,2,0,4,0,0,2011-05-19,ingebr01,Brandon,Inge,1977-05-19,1977,5,19,2001-04-03,2013-07-21,ingebr01,2001,2013
285078,264435,0,2,0,1,0,0,1,0,0,1,0,3,0,0,4,2,0,2,1,0,2010-05-21,hamiljo03,Josh,Hamilton,1981-05-21,1981,5,21,2007-04-02,2015-10-04,hamiljo03,2007,2015
285078,347423,0,1,2,0,1,1,2,0,0,2,0,5,0,0,5,7,2,2,0,0,2013-05-21,hamiljo03,Josh,Hamilton,1981-05-21,1981,5,21,2007-04-02,2015-10-04,hamiljo03,2007,2015
334492,236132,0,1,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,3,1,0,2008-09-25,pineijo01,Joel,Pineiro,1978-09-25,1978,9,25,2000-08-08,2011-09-25,pineijo01,2000,2011
346793,287808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2011-06-06,affelje01,Jeremy,Affeldt,1979-06-06,1979,6,6,2002-04-06,2015-10-04,affelje01,2002,2015
400061,70122,0,1,0,0,0,0,1,0,0,1,0,3,0,0,3,1,1,0,0,0,2007-08-29,oswalro01,Roy,Oswalt,1977-08-29,1977,8,29,2001-05-06,2013-09-29,oswalro01,2001,2013
400134,265432,1,1,1,0,0,1,1,0,0,1,0,4,0,0,4,4,1,3,0,0,2010-08-05,hinsker01,Eric,Hinske,1977-08-05,1977,8,5,2002-04-01,2013-06-27,hinsker01,2002,2013
