total_splits,season,num_teams,rank,games_played,games_started,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,ground_into_double_play,number_of_pitches,era,innings_pitched,wins,losses,saves,save_opportunities,holds,blown_saves,earned_runs,whip,batters_faced,outs,games_pitched,complete_games,shutouts,strikes,strike_percentage,hit_batsmen,balks,wild_pitches,pickoffs,total_bases,ground_outs_to_airouts,win_percentage,pitches_per_inning,games_finished,strikeout_walk_ratio,strikeouts_per9inn,walks_per9inn,hits_per9inn,runs_scored_per9,home_runs_per9,inherited_runners,inherited_runners_scored,catchers_interference,sac_bunts,sac_flies,team_id,team_name,team_link,player_id,player_full_name,player_link,player_first_name,player_last_name,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation,splits_tied_with_offset,splits_tied_with_limit,player_pool,type_display_name,group_display_name
651,2008,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,.333,3,.500,.333,.833,0,0,.---,0,19,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,10,.530,0,0,0,0,1,1.00,.---,19.00,1,1.00,9.00,9.00,9.00,0.00,0.00,0,0,0,1,0,143,Philadelphia Phillies,/api/v1/teams/143,502165,Drew Carpenter,/api/v1/people/502165,Drew,Carpenter,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,1,0,0,1,1,0,0,0,2,1,0,1,1,.333,3,.500,.333,.833,0,1,1.000,0,30,0.00,1.0,0,0,0,0,0,0,0,2.00,6,3,1,0,0,16,.530,1,0,1,0,1,0.00,.---,30.00,1,2.00,18.00,9.00,9.00,9.00,0.00,0,0,0,0,1,140,Texas Rangers,/api/v1/teams/140,407872,Joselo Diaz,/api/v1/people/407872,Joselo,Diaz,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,14,0,16,12,1,1,0,0,9,3,0,8,1,.178,45,.245,.200,.445,0,1,1.000,2,192,0.00,13.2,0,0,0,0,4,0,0,0.80,49,41,14,0,0,110,.570,1,1,0,0,9,1.33,.---,14.05,2,3.00,5.93,1.98,5.27,0.66,0.00,7,1,0,0,0,120,Washington Nationals,/api/v1/teams/120,434479,Mike Hinckley,/api/v1/people/434479,Mike,Hinckley,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,7,0,10,3,0,1,0,0,8,1,0,3,0,.125,24,.160,.167,.327,0,0,.---,0,94,0.00,7.0,0,0,0,0,0,0,0,0.57,25,21,7,0,0,63,.670,0,0,0,0,4,3.33,.---,13.43,1,8.00,10.29,1.29,3.86,0.00,0.00,0,0,0,0,0,138,St. Louis Cardinals,/api/v1/teams/138,448337,Josh Kinney,/api/v1/people/448337,Josh,Kinney,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,4,0,4,12,0,1,0,0,2,1,0,5,0,.227,22,.261,.273,.534,0,0,.---,0,95,0.00,6.0,0,0,0,0,0,0,0,1.00,24,18,4,0,0,60,.630,0,0,0,0,6,0.33,.---,15.83,1,2.00,3.00,1.50,7.50,0.00,0.00,0,0,0,1,0,119,Los Angeles Dodgers,/api/v1/teams/119,457428,James McDonald,/api/v1/people/457428,James,McDonald,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,2,0,1,2,0,0,0,0,2,1,0,0,0,.000,5,.167,.000,.167,0,0,.---,1,26,0.00,2.0,0,0,0,0,0,0,0,0.50,6,6,2,0,0,14,.540,0,0,0,0,0,0.50,.---,13.00,1,2.00,9.00,4.50,0.00,0.00,0.00,0,0,0,0,0,114,Cleveland Indians,/api/v1/teams/114,459974,Jon Meloan,/api/v1/people/459974,Jon,Meloan,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,0,10,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,7,.700,0,0,0,0,0,0.50,.---,10.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,138,St. Louis Cardinals,/api/v1/teams/138,425446,Aaron Miles,/api/v1/people/425446,Aaron,Miles,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,4,Second Base,Infielder,2B,,,ALL,season,pitching
651,2008,1,1,1,0,1,2,0,1,0,0,0,0,0,1,0,.250,4,.250,.500,.750,0,0,.---,0,18,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,13,.720,0,0,0,0,2,0.50,.---,18.00,1,-.--,0.00,0.00,9.00,0.00,0.00,0,0,0,0,0,115,Colorado Rockies,/api/v1/teams/115,434623,Juan Morillo,/api/v1/people/434623,Juan,Morillo,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,.000,2,.333,.000,.333,0,0,.---,1,13,0.00,1.0,0,0,0,0,0,0,0,1.00,3,3,1,0,0,6,.460,0,0,0,0,0,2.00,.---,13.00,1,0.00,0.00,9.00,0.00,0.00,0.00,0,0,0,0,0,118,Kansas City Royals,/api/v1/teams/118,461377,Neal Musser,/api/v1/people/461377,Neal,Musser,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,0,12,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,8,.670,0,0,0,0,0,1.00,.---,12.00,1,-.--,9.00,0.00,0.00,0.00,0.00,0,0,0,0,0,118,Kansas City Royals,/api/v1/teams/118,430640,Tony Pena Jr.,/api/v1/people/430640,Tony,Pena,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS,,,ALL,season,pitching
651,2008,1,1,1,0,3,0,0,0,0,0,1,1,0,0,0,.000,4,.200,.000,.200,0,0,.---,0,26,0.00,1.1,0,0,0,0,0,0,0,0.75,5,4,1,0,0,13,.500,0,0,0,0,0,3.00,.---,19.50,1,1.00,6.75,6.75,0.00,0.00,0.00,0,0,0,0,0,139,Tampa Bay Rays,/api/v1/teams/139,472490,Jae Kuk Ryu,/api/v1/people/472490,Jae Kuk,Ryu,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,1,0,2,0,0,1,0,0,1,0,0,1,0,.250,4,.250,.500,.750,0,0,.---,0,10,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,8,.800,0,0,0,0,2,2.00,.---,10.00,1,-.--,9.00,0.00,9.00,0.00,0.00,0,0,0,0,0,108,Los Angeles Angels,/api/v1/teams/108,443563,Alex Serrano,/api/v1/people/443563,Alex,Serrano,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,6,0,5,7,0,0,1,0,9,4,0,2,1,.087,23,.250,.174,.424,0,1,1.000,1,129,0.00,7.1,0,0,0,0,0,0,0,0.82,28,22,6,0,0,72,.560,1,0,1,0,4,0.71,.---,17.59,4,2.25,11.05,4.91,2.45,0.00,0.00,2,0,0,0,0,144,Atlanta Braves,/api/v1/teams/144,430666,Phil Stockman,/api/v1/people/430666,Phil,Stockman,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,1,3,0,1,5,0,1,0,0,1,1,0,1,0,.125,8,.222,.250,.472,0,0,.---,0,39,0.00,2.1,0,0,0,0,0,0,0,0.86,9,7,3,0,0,26,.670,0,0,0,0,2,0.20,.---,16.71,1,1.00,3.86,3.86,3.86,0.00,0.00,0,0,0,0,0,119,Los Angeles Dodgers,/api/v1/teams/119,122915,Tanyon Sturtze,/api/v1/people/122915,Tanyon,Sturtze,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,2,1,4,0,9,5,0,0,0,0,1,3,0,0,0,.000,15,.167,.000,.167,0,0,.---,1,54,0.00,5.1,0,0,0,0,0,0,0,0.56,18,16,4,0,0,30,.560,0,0,0,0,0,1.80,.---,10.13,2,0.33,1.69,5.06,0.00,0.00,0.00,3,1,0,0,0,112,Chicago Cubs,/api/v1/teams/112,448694,Randy Wells,/api/v1/people/448694,Randy,Wells,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,16,42,0,33,50,7,3,0,0,49,15,2,23,0,.150,153,.225,.170,.395,1,3,.750,3,717,0.59,45.2,6,1,1,2,11,1,3,0.83,170,137,42,0,0,463,.650,0,0,0,0,26,0.66,.857,15.70,10,3.27,9.66,2.96,4.53,1.38,0.00,22,7,0,1,1,133,Oakland Athletics,/api/v1/teams/133,457733,Joey Devine,/api/v1/people/457733,Joey,Devine,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
651,2008,1,17,12,0,15,13,1,2,0,0,14,2,0,8,0,.160,50,.192,.200,.392,0,0,.---,2,201,0.61,14.2,1,0,0,0,5,0,1,0.68,52,44,12,0,0,132,.660,0,0,1,0,10,1.15,1.000,13.70,0,7.00,8.59,1.23,4.91,0.61,0.00,3,0,0,0,0,147,New York Yankees,/api/v1/teams/147,457435,Phil Coke,/api/v1/people/457435,Phil,Coke,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
