total_splits,season,num_teams,rank,games_played,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,ground_into_double_play,number_of_pitches,plate_appearances,total_bases,rbi,left_on_base,sac_bunts,sac_flies,babip,ground_outs_to_airouts,catchers_interference,at_bats_per_home_run,team_id,team_name,team_link,player_id,player_full_name,player_link,player_first_name,player_last_name,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation,splits_tied_with_offset,splits_tied_with_limit,player_pool,type_display_name,group_display_name
1141,2005,1,1,19,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,0,4,1,1,0,0,0,0,1.000,-.--,0,-.--,112,Chicago Cubs,/api/v1/teams/112,407802,Cliff Bartosh,/api/v1/people/407802,Cliff,Bartosh,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,1,36,1,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,0,4,2,1,0,0,1,0,1.000,1.00,0,-.--,144,Atlanta Braves,/api/v1/teams/144,333293,Adam Bernero,/api/v1/people/333293,Adam,Bernero,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,0,2,1,1,1,0,0,0,1.000,-.--,0,-.--,144,Atlanta Braves,/api/v1/teams/144,460580,Chuck James,/api/v1/people/460580,Chuck,James,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,1,68,0,0,1,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,0,3,1,1,1,0,0,0,1.000,-.--,0,-.--,145,Chicago White Sox,/api/v1/teams/145,131700,Cliff Politte,/api/v1/people/131700,Cliff,Politte,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,1,8,0,0,4,0,0,1,0,0,0,1,0,1.000,1,1.000,4.000,5.000,2,0,.000,0,2,1,4,2,0,0,0,.---,-.--,0,1.00,110,Baltimore Orioles,/api/v1/teams/110,407855,Ed Rogers,/api/v1/people/407855,Ed,Rogers,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,X,Unknown,Unknown,X,,,ALL,season,hitting
1141,2005,1,1,49,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,0,3,1,1,1,0,0,0,1.000,-.--,0,-.--,158,Milwaukee Brewers,/api/v1/teams/158,277184,Matt Wise,/api/v1/people/277184,Matt,Wise,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,7,5,0,0,3,1,0,0,1,0,0,3,0,.750,4,.750,1.000,1.750,0,2,1.000,0,16,4,4,1,1,0,0,1.000,-.--,0,-.--,140,Texas Rangers,/api/v1/teams/140,407397,Esteban German,/api/v1/people/407397,Esteban,German,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,X,Unknown,Unknown,X,,,ALL,season,hitting
1141,2005,1,8,7,1,0,1,1,0,0,0,0,0,2,0,.667,3,.667,1.000,1.667,0,0,.---,0,15,3,3,0,0,0,0,.667,1.00,0,-.--,117,Houston Astros,/api/v1/teams/117,346855,Brandon Duckworth,/api/v1/people/346855,Brandon,Duckworth,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,8,16,0,0,0,0,0,0,1,0,0,2,0,.667,3,.667,.667,1.334,0,0,.---,0,8,3,2,0,2,0,0,1.000,-.--,0,-.--,111,Boston Red Sox,/api/v1/teams/111,150063,Wade Miller,/api/v1/people/150063,Wade,Miller,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,28,1,0,0,0,0,0,0,0,0,1,0,.500,2,.500,.500,1.000,0,0,.---,0,6,2,1,0,0,0,0,.500,1.00,0,-.--,137,San Francisco Giants,/api/v1/teams/137,435618,Jeremy Accardo,/api/v1/people/435618,Jeremy,Accardo,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,13,0,0,0,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,0,8,2,2,0,0,0,0,1.000,-.--,0,-.--,147,New York Yankees,/api/v1/teams/147,111554,Kevin Brown,/api/v1/people/111554,Kevin,Brown,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,8,0,1,0,0,0,0,0,0,0,1,0,.500,2,.500,.500,1.000,0,0,.---,0,6,2,1,0,1,0,0,.500,0.00,0,-.--,137,San Francisco Giants,/api/v1/teams/137,150001,Brian Cooper,/api/v1/people/150001,Brian,Cooper,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,32,0,0,0,0,0,0,1,0,0,1,0,.500,2,.500,.500,1.000,0,0,.---,0,9,2,1,1,0,0,0,1.000,-.--,0,-.--,145,Chicago White Sox,/api/v1/teams/145,279782,Jon Garland,/api/v1/people/279782,Jon,Garland,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,33,0,1,1,0,0,1,0,0,0,1,0,.500,2,.500,2.000,2.500,0,0,.---,0,4,2,4,1,1,0,0,.000,0.00,0,2.00,118,Kansas City Royals,/api/v1/teams/118,425844,Zack Greinke,/api/v1/people/425844,Zack,Greinke,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,33,1,0,1,0,0,1,0,0,0,1,0,.500,2,.500,2.000,2.500,0,0,.---,0,5,2,4,1,0,0,0,.000,1.00,0,2.00,116,Detroit Tigers,/api/v1/teams/116,116595,Jason Johnson,/api/v1/people/116595,Jason,Johnson,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,33,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--,121,New York Mets,/api/v1/teams/121,435082,Dae-Sung Koo,/api/v1/people/435082,Dae-Sung,Koo,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,35,1,0,0,0,0,0,2,1,0,2,0,.500,4,.600,.500,1.100,0,0,.---,0,24,6,2,1,2,1,0,1.000,1.00,0,-.--,116,Detroit Tigers,/api/v1/teams/116,400077,Mike Maroth,/api/v1/people/400077,Mike,Maroth,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,13,1,1,2,0,0,0,0,2,0,2,0,.500,4,.667,.500,1.167,0,0,.---,0,28,6,2,2,1,0,0,.500,1.00,0,-.--,111,Boston Red Sox,/api/v1/teams/111,118560,Dave McCarty,/api/v1/people/118560,Dave,McCarty,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B,,,ALL,season,hitting
1141,2005,1,10,24,0,0,0,0,0,0,1,0,0,1,0,.500,2,.500,.500,1.000,0,0,.---,0,7,2,1,0,0,0,0,1.000,-.--,0,-.--,121,New York Mets,/api/v1/teams/121,433677,Juan Padilla,/api/v1/people/433677,Juan,Padilla,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,10,2,1,1,1,0,0,0,0,1,0,2,0,.500,4,.600,.500,1.100,0,0,.---,0,17,5,2,0,0,0,0,.500,1.00,0,-.--,134,Pittsburgh Pirates,/api/v1/teams/134,425661,Ronny Paulino,/api/v1/people/425661,Ronny,Paulino,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,2,Catcher,Catcher,C,,,ALL,season,hitting
1141,2005,1,10,1,1,0,0,0,0,0,1,0,0,2,0,.500,4,.500,.500,1.000,0,0,.---,0,21,4,2,1,1,0,0,.667,1.00,0,-.--,115,Colorado Rockies,/api/v1/teams/115,448676,Ryan Spilborghs,/api/v1/people/448676,Ryan,Spilborghs,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,9,Outfielder,Outfielder,RF,,,ALL,season,hitting
1141,2005,1,10,78,0,0,0,0,0,0,2,0,0,2,0,.500,4,.500,.500,1.000,0,0,.---,0,19,4,2,0,3,0,0,1.000,-.--,0,-.--,134,Pittsburgh Pirates,/api/v1/teams/134,123415,Salomon Torres,/api/v1/people/123415,Salomon,Torres,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,23,13,11,6,3,1,0,0,7,2,0,17,0,.425,40,.452,.450,.902,2,1,.333,0,146,43,18,3,13,1,0,.515,1.83,0,-.--,142,Minnesota Twins,/api/v1/teams/142,435403,Glenn Williams,/api/v1/people/435403,Glenn,Williams,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B,,,ALL,season,hitting
1141,2005,1,24,7,0,3,0,2,0,0,4,0,0,5,0,.417,12,.417,.583,1.000,1,0,.000,0,44,12,7,0,3,0,0,.625,0.00,0,-.--,145,Chicago White Sox,/api/v1/teams/145,400021,Joe Borchard,/api/v1/people/400021,Joe,Borchard,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,X,Unknown,Unknown,X,,,ALL,season,hitting
1141,2005,1,25,34,2,1,0,1,0,0,0,0,0,2,0,.400,5,.400,.600,1.000,0,0,.---,0,15,5,3,2,3,0,0,.400,2.00,0,-.--,133,Oakland Athletics,/api/v1/teams/133,429717,Dan Haren,/api/v1/people/429717,Dan,Haren,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,25,11,2,6,4,2,0,2,1,1,0,6,1,.400,15,.471,.933,1.404,0,0,.---,0,54,17,14,4,1,0,0,.333,0.33,0,7.50,120,Washington Nationals,/api/v1/teams/120,430907,Rick Short,/api/v1/people/430907,Rick,Short,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,4,Second Base,Infielder,2B,,,ALL,season,hitting
1141,2005,1,27,20,13,11,6,10,0,0,12,3,0,23,0,.397,58,.419,.569,.988,0,0,.---,1,217,62,33,6,27,0,1,.489,1.18,0,-.--,120,Washington Nationals,/api/v1/teams/120,475582,Ryan Zimmerman,/api/v1/people/475582,Ryan,Zimmerman,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B,,,ALL,season,hitting
1141,2005,1,28,16,12,7,3,3,0,1,11,1,0,19,0,.396,48,.408,.521,.929,0,0,.---,0,180,50,25,6,23,1,0,.500,1.71,0,48.00,136,Seattle Mariners,/api/v1/teams/136,425784,Rene Rivera,/api/v1/people/425784,Rene,Rivera,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,2,Catcher,Catcher,C,,,ALL,season,hitting
1141,2005,1,29,21,6,1,2,1,0,0,1,0,0,4,0,.364,11,.364,.455,.819,0,0,.---,0,27,12,5,1,5,1,0,.400,6.00,0,-.--,112,Chicago Cubs,/api/v1/teams/112,429901,Sergio Mitre,/api/v1/people/429901,Sergio,Mitre,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,30,39,40,22,22,4,2,1,22,7,0,43,2,.341,126,.385,.429,.814,2,2,.500,1,469,136,54,9,37,1,0,.408,1.82,0,126.00,134,Pittsburgh Pirates,/api/v1/teams/134,434659,Chris Duffy,/api/v1/people/434659,Chris,Duffy,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,8,Outfielder,Outfielder,CF,,,ALL,season,hitting
1141,2005,1,31,110,114,94,67,15,5,2,41,32,2,123,2,.335,367,.392,.420,.812,3,22,.880,3,1455,406,154,36,131,5,0,.373,1.21,0,183.50,143,Philadelphia Phillies,/api/v1/teams/143,117863,Kenny Lofton,/api/v1/people/117863,Kenny,Lofton,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,8,Outfielder,Outfielder,CF,,,ALL,season,hitting
1141,2005,1,32,158,135,158,120,50,3,46,109,85,23,199,5,.335,594,.418,.662,1.080,3,15,.833,12,2787,691,393,107,204,0,7,.343,0.85,0,12.91,112,Chicago Cubs,/api/v1/teams/112,117601,Derrek Lee,/api/v1/people/117601,Derrek,Lee,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B,,,ALL,season,hitting
1141,2005,1,33,68,2,1,0,0,0,0,0,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,0,8,4,1,0,1,1,0,.333,2.00,0,-.--,120,Washington Nationals,/api/v1/teams/120,425646,Luis Ayala,/api/v1/people/425646,Luis,Ayala,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
1141,2005,1,33,15,2,0,2,0,0,0,0,1,0,1,0,.333,3,.500,.333,.833,0,0,.---,0,14,4,1,0,0,0,0,.333,2.00,0,-.--,120,Washington Nationals,/api/v1/teams/120,456589,Jason Bergmann,/api/v1/people/456589,Jason,Bergmann,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,hitting
