total_splits,season,num_teams,rank,games_played,games_started,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,ground_into_double_play,number_of_pitches,era,innings_pitched,wins,losses,saves,save_opportunities,holds,blown_saves,earned_runs,whip,batters_faced,outs,games_pitched,complete_games,shutouts,strikes,strike_percentage,hit_batsmen,balks,wild_pitches,pickoffs,total_bases,ground_outs_to_airouts,win_percentage,pitches_per_inning,games_finished,strikeout_walk_ratio,strikeouts_per9inn,walks_per9inn,hits_per9inn,runs_scored_per9,home_runs_per9,inherited_runners,inherited_runners_scored,catchers_interference,sac_bunts,sac_flies,team_id,team_name,team_link,player_id,player_full_name,player_link,player_first_name,player_last_name,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation,splits_tied_with_offset,splits_tied_with_limit,player_pool,type_display_name,group_display_name
871,2022,1,1,2,0,4,0,0,0,0,0,2,3,0,0,0,.000,6,.333,.000,.333,0,0,.---,1,48,0.00,2.1,1,0,0,0,0,0,0,1.29,9,7,2,0,0,27,.560,0,0,0,0,0,4.00,1.000,20.57,0,0.67,7.71,11.57,0.00,0.00,0.00,0,0,0,0,0,135,San Diego Padres,/api/v1/teams/135,613534,Austin Adams,/api/v1/people/613534,Austin,Adams,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
871,2022,1,1,1,0,0,2,0,0,0,0,1,1,0,0,0,.000,3,.250,.000,.250,0,0,.---,0,12,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,5,.420,0,0,0,0,0,0.00,.---,12.00,1,1.00,9.00,9.00,0.00,0.00,0.00,0,0,0,0,0,120,Washington Nationals,/api/v1/teams/120,501303,Ehire Adrianza,/api/v1/people/501303,Ehire,Adrianza,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS,,,ALL,season,pitching
871,2022,1,1,2,0,3,1,0,0,0,0,2,2,0,2,0,.250,8,.400,.250,.650,0,0,.---,1,40,0.00,2.1,0,0,0,0,0,0,0,1.71,10,7,2,0,0,24,.600,0,0,0,0,2,3.00,.---,17.14,0,1.00,7.71,7.71,7.71,0.00,0.00,1,0,0,0,0,142,Minnesota Twins,/api/v1/teams/142,660896,Jorge Alcala,/api/v1/people/660896,Jorge,Alcala,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
871,2022,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,.250,4,.250,.250,.500,0,0,.---,0,16,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,12,.750,0,0,0,0,1,1.00,.---,16.00,0,-.--,9.00,0.00,9.00,0.00,0.00,0,0,0,0,0,134,Pittsburgh Pirates,/api/v1/teams/134,682027,Cam Alldred,/api/v1/people/682027,Cam,Alldred,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
871,2022,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,.000,3,.250,.000,.250,0,0,.---,0,10,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,6,.600,0,0,0,0,0,0.00,.---,10.00,1,0.00,0.00,9.00,0.00,0.00,0.00,0,0,0,0,0,144,Atlanta Braves,/api/v1/teams/144,606115,Orlando Arcia,/api/v1/people/606115,Orlando,Arcia,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS,,,ALL,season,pitching
871,2022,1,1,2,0,1,4,0,0,0,0,0,2,0,0,0,.000,5,.286,.000,.286,0,0,.---,1,23,0.00,2.0,0,0,0,0,0,0,0,1.00,7,6,2,0,0,9,.390,0,0,0,0,0,0.25,.---,11.50,2,0.00,0.00,9.00,0.00,0.00,0.00,0,0,0,0,0,146,Miami Marlins,/api/v1/teams/146,553902,Willians Astudillo,/api/v1/people/553902,Willians,Astudillo,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B,,,ALL,season,pitching
871,2022,1,1,2,0,1,3,0,0,0,0,2,0,0,1,0,.143,7,.143,.143,.286,0,0,.---,0,25,0.00,2.0,0,0,0,0,0,0,0,0.50,7,6,2,0,0,14,.560,0,0,1,0,1,0.33,.---,12.50,2,-.--,9.00,0.00,4.50,0.00,0.00,0,0,0,0,0,135,San Diego Padres,/api/v1/teams/135,673258,Michel Baez,/api/v1/people/673258,Michel,Baez,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
871,2022,1,1,3,0,5,5,0,1,0,0,0,1,0,2,0,.167,12,.231,.250,.481,0,0,.---,0,44,0.00,3.0,0,0,0,0,0,0,0,1.00,13,9,3,0,0,24,.550,0,0,0,0,3,1.00,.---,14.67,3,0.00,0.00,3.00,6.00,0.00,0.00,1,0,0,0,0,158,Milwaukee Brewers,/api/v1/teams/158,670712,Mike Brosseau,/api/v1/people/670712,Mike,Brosseau,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B,,,ALL,season,pitching
871,2022,1,1,3,0,5,3,1,0,0,0,1,0,0,2,0,.182,11,.182,.182,.364,0,0,.---,0,45,0.00,2.2,0,0,0,0,1,0,0,0.75,11,8,3,0,0,31,.690,0,0,2,0,2,1.67,.---,16.88,1,-.--,3.38,0.00,6.75,3.38,0.00,5,1,0,0,0,133,Oakland Athletics,/api/v1/teams/133,624418,Ryan Castellani,/api/v1/people/624418,Ryan,Castellani,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
871,2022,1,1,3,0,5,3,0,0,0,0,4,0,0,2,0,.143,14,.143,.143,.286,0,0,.---,0,60,0.00,3.2,0,0,0,0,0,0,0,0.55,14,11,3,0,0,38,.630,0,0,0,0,2,1.67,.---,16.36,1,-.--,9.82,0.00,4.91,0.00,0.00,2,0,0,0,0,116,Detroit Tigers,/api/v1/teams/116,622379,Luis Castillo,/api/v1/people/622379,Luis,Castillo,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
