total_splits,season,num_teams,rank,games_played,games_started,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,ground_into_double_play,number_of_pitches,era,innings_pitched,wins,losses,saves,save_opportunities,holds,blown_saves,earned_runs,whip,batters_faced,outs,games_pitched,complete_games,shutouts,strikes,strike_percentage,hit_batsmen,balks,wild_pitches,pickoffs,total_bases,ground_outs_to_airouts,win_percentage,pitches_per_inning,games_finished,strikeout_walk_ratio,strikeouts_per9inn,walks_per9inn,hits_per9inn,runs_scored_per9,home_runs_per9,inherited_runners,inherited_runners_scored,catchers_interference,sac_bunts,sac_flies,team_id,team_name,team_link,player_id,player_full_name,player_link,player_first_name,player_last_name,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation,splits_tied_with_offset,splits_tied_with_limit,player_pool,type_display_name,group_display_name
664,2009,1,1,1,1,6,6,0,0,0,0,5,3,0,7,0,.292,24,.370,.292,.662,0,0,.---,1,98,0.00,6.0,0,0,0,0,0,0,0,1.67,27,18,1,0,0,61,.620,0,0,1,0,7,1.00,.---,16.33,0,1.67,7.50,4.50,10.50,0.00,0.00,0,0,0,0,0,108,Los Angeles Angels,/api/v1/teams/108,444440,Nick Adenhart,/api/v1/people/444440,Nick,Adenhart,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
664,2009,1,1,2,0,3,3,0,0,0,0,0,0,0,1,0,.143,7,.143,.143,.286,0,0,.---,1,21,0.00,2.0,0,0,0,0,0,0,0,0.50,7,6,2,0,0,17,.810,0,0,0,0,1,1.00,.---,10.50,1,-.--,0.00,0.00,4.50,0.00,0.00,0,0,0,0,0,112,Chicago Cubs,/api/v1/teams/112,444444,Mitch Atkins,/api/v1/people/444444,Mitch,Atkins,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
664,2009,1,1,2,0,0,4,0,0,0,0,2,1,0,0,0,.000,6,.143,.000,.143,0,0,.---,0,25,0.00,2.0,0,0,0,0,0,0,0,0.50,7,6,2,0,0,14,.560,0,0,0,0,0,0.00,.---,12.50,2,2.00,9.00,4.50,0.00,0.00,0.00,0,0,0,0,0,135,San Diego Padres,/api/v1/teams/135,457117,Ernesto Frieri,/api/v1/people/457117,Ernesto,Frieri,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
664,2009,1,1,1,0,2,0,0,0,0,0,0,2,0,0,0,.000,2,.500,.000,.500,0,0,.---,1,16,0.00,1.0,0,0,0,0,0,0,0,2.00,4,3,1,0,0,6,.380,0,0,0,0,0,2.00,.---,16.00,1,0.00,0.00,18.00,0.00,0.00,0.00,0,0,0,0,0,146,Florida Marlins,/api/v1/teams/146,340393,Ross Gload,/api/v1/people/340393,Ross,Gload,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B,,,ALL,season,pitching
664,2009,1,1,1,0,3,3,0,0,0,0,0,3,0,0,0,.000,6,.333,.000,.333,0,0,.---,0,35,0.00,2.0,0,0,0,0,0,0,0,1.50,9,6,1,0,0,13,.370,0,0,0,0,0,1.00,.---,17.50,1,0.00,0.00,13.50,0.00,0.00,0.00,0,0,0,0,0,111,Boston Red Sox,/api/v1/teams/111,407797,Nick Green,/api/v1/people/407797,Nick,Green,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,4,Second Base,Infielder,2B,,,ALL,season,pitching
664,2009,1,1,1,0,0,2,0,0,0,0,1,2,0,0,1,.000,3,.500,.000,.500,0,0,.---,0,28,0.00,1.0,0,0,0,0,1,0,0,2.00,6,3,1,0,0,15,.540,1,0,0,0,0,0.00,.---,28.00,0,0.50,9.00,18.00,0.00,0.00,0.00,0,0,0,0,0,147,New York Yankees,/api/v1/teams/147,453178,Ian Kennedy,/api/v1/people/453178,Ian,Kennedy,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
664,2009,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,.000,1,.500,.000,.500,0,0,.---,0,3,0.00,0.1,0,0,0,0,0,0,0,0.00,2,1,1,0,0,1,.330,1,0,0,0,0,0.00,.---,9.00,1,-.--,0.00,0.00,0.00,0.00,0.00,1,0,0,0,0,119,Los Angeles Dodgers,/api/v1/teams/119,117928,Mark Loretta,/api/v1/people/117928,Mark,Loretta,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,4,Second Base,Infielder,2B,,,ALL,season,pitching
664,2009,1,1,3,0,3,7,0,1,0,0,2,1,0,5,0,.294,17,.333,.353,.686,1,0,.000,0,79,0.00,4.1,0,0,0,0,0,0,0,1.38,18,13,3,0,0,49,.620,0,0,0,0,6,0.43,.---,18.23,1,2.00,4.15,2.08,10.38,0.00,0.00,0,0,0,0,0,113,Cincinnati Reds,/api/v1/teams/113,490008,Robert Manuel,/api/v1/people/490008,Robert,Manuel,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
664,2009,1,1,6,0,4,9,1,0,0,0,11,2,0,3,0,.111,27,.172,.111,.283,1,0,.000,0,130,0.00,8.1,0,0,0,0,0,0,0,0.60,29,25,6,0,0,84,.650,0,0,0,0,3,0.44,.---,15.60,2,5.50,11.88,2.16,3.24,1.08,0.00,1,0,0,0,0,133,Oakland Athletics,/api/v1/teams/133,459974,Jon Meloan,/api/v1/people/459974,Jon,Meloan,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
664,2009,1,1,3,0,3,7,0,0,0,0,0,1,0,3,0,.250,12,.286,.250,.536,0,0,.---,0,53,0.00,3.1,0,0,0,0,0,0,0,1.20,14,10,3,0,0,35,.660,0,1,1,0,3,0.43,.---,15.90,1,0.00,0.00,2.70,8.10,0.00,0.00,4,2,0,0,1,111,Boston Red Sox,/api/v1/teams/111,450580,Dustin Richardson,/api/v1/people/450580,Dustin,Richardson,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
