total_splits,season,num_teams,rank,games_played,games_started,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,ground_into_double_play,number_of_pitches,era,innings_pitched,wins,losses,saves,save_opportunities,holds,blown_saves,earned_runs,whip,batters_faced,outs,games_pitched,complete_games,shutouts,strikes,strike_percentage,hit_batsmen,balks,wild_pitches,pickoffs,total_bases,ground_outs_to_airouts,win_percentage,pitches_per_inning,games_finished,strikeout_walk_ratio,strikeouts_per9inn,walks_per9inn,hits_per9inn,runs_scored_per9,home_runs_per9,inherited_runners,inherited_runners_scored,catchers_interference,sac_bunts,sac_flies,team_id,team_name,team_link,player_id,player_full_name,player_link,player_first_name,player_last_name,league_id,league_name,league_link,sport_id,sport_link,sport_abbreviation,position_code,position_name,position_type,position_abbreviation,splits_tied_with_offset,splits_tied_with_limit,player_pool,type_display_name,group_display_name
666,2007,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,0,9,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,6,.670,0,0,0,0,0,0.50,.---,9.00,0,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,121,New York Mets,/api/v1/teams/121,424668,Jon Adkins,/api/v1/people/424668,Jon,Adkins,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,2,0,0,2,0,1,0,0,3,2,0,2,0,.286,7,.444,.429,.873,0,0,.---,0,35,0.00,2.0,0,0,0,0,0,0,0,2.00,9,6,2,0,0,20,.570,0,0,0,0,3,0.00,.---,17.50,0,1.50,13.50,9.00,9.00,0.00,0.00,3,2,0,0,0,143,Philadelphia Phillies,/api/v1/teams/143,445202,Joe Bisenius,/api/v1/people/445202,Joe,Bisenius,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,1,0,0,2,0,0,0,0,1,2,0,0,0,.000,3,.400,.000,.400,0,0,.---,0,24,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,10,.420,0,0,0,0,0,0.00,.---,24.00,1,0.50,9.00,18.00,0.00,0.00,0.00,0,0,0,0,0,109,Arizona Diamondbacks,/api/v1/teams/109,112297,Jeff Cirillo,/api/v1/people/112297,Jeff,Cirillo,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,5,Third Base,Infielder,3B,,,ALL,season,pitching
666,2007,1,1,2,0,1,2,0,0,0,0,1,1,0,2,0,.333,6,.429,.333,.762,0,0,.---,0,27,0.00,1.1,0,0,0,0,0,0,0,2.25,7,4,2,0,0,16,.590,0,0,0,0,2,0.50,.---,20.25,0,1.00,6.75,6.75,13.50,0.00,0.00,2,0,0,0,0,115,Colorado Rockies,/api/v1/teams/115,457489,Darren Clarke,/api/v1/people/457489,Darren,Clarke,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,.000,4,.000,.000,.000,0,0,.---,0,19,0.00,1.0,0,0,0,0,0,0,0,0.00,4,3,1,0,0,12,.630,0,0,0,0,0,2.00,.---,19.00,1,-.--,9.00,0.00,0.00,0.00,0.00,0,0,0,0,0,120,Washington Nationals,/api/v1/teams/120,446321,Ross Detwiler,/api/v1/people/446321,Ross,Detwiler,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,2,0,1,2,0,0,0,0,0,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,0,13,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,2,0,0,9,.690,0,0,0,0,2,0.50,.---,13.00,2,-.--,0.00,0.00,18.00,0.00,0.00,2,1,0,0,0,114,Cleveland Indians,/api/v1/teams/114,285080,Matt Miller,/api/v1/people/285080,Matt,Miller,103,AL,/api/v1/league/103,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,0,8,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,4,.500,0,0,0,0,0,0.00,.---,8.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,109,Arizona Diamondbacks,/api/v1/teams/109,324432,Augie Ojeda,/api/v1/people/324432,Augie,Ojeda,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,6,Shortstop,Infielder,SS,,,ALL,season,pitching
666,2007,1,1,1,0,1,2,0,0,0,0,0,0,0,1,0,.250,4,.250,.250,.500,0,0,.---,0,14,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,9,.640,0,0,0,0,1,0.50,.---,14.00,1,-.--,0.00,0.00,9.00,0.00,0.00,0,0,0,0,0,135,San Diego Padres,/api/v1/teams/135,433258,Aaron Rakers,/api/v1/people/433258,Aaron,Rakers,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,1,12,0.00,1.0,0,0,0,0,0,0,0,1.00,3,3,1,0,0,8,.670,0,0,0,0,1,1.00,.---,12.00,1,-.--,9.00,0.00,9.00,0.00,0.00,0,0,0,0,0,109,Arizona Diamondbacks,/api/v1/teams/109,449128,Mike Schultz,/api/v1/people/449128,Mike,Schultz,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,1,Pitcher,Pitcher,P,,,ALL,season,pitching
666,2007,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,.000,3,.250,.000,.250,0,0,.---,0,20,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,10,.500,0,0,0,0,0,0.50,.---,20.00,1,0.00,0.00,9.00,0.00,0.00,0.00,0,0,0,0,0,138,St. Louis Cardinals,/api/v1/teams/138,122596,Scott Spiezio,/api/v1/people/122596,Scott,Spiezio,104,NL,/api/v1/league/104,1,/api/v1/sports/1,MLB,3,First Base,Infielder,1B,,,ALL,season,pitching
