"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",4,2,1,7,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514917,634007
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514917,634007
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"2-4 | 2B, 2 BB, K",1,1,0,3,1,0,0,1,2,0,2,0,4,0,0,6,3,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514917,634007
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,0,0,0,2,0,0,0,0,3,0,0,3,0,0,3,0,0,0,"-.--","R",1,1,".000",".000",".000",".000",11,".000","0.00",114,"Cleveland Indians","/api/v1/teams/114",142,"Minnesota Twins","/api/v1/teams/142",608648,"Tyler Duffey","/api/v1/people/608648","Tyler","Duffey",514917,"Cesar Hernandez","/api/v1/people/514917","Cesar","Hernandez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",514917,634007
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"7ee39ed4-9e8e-4c8b-8e1c-42403f8ddf38",7,"2021-05-23T17:18:58.042Z","2021-05-23T17:19:07.243Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,0,FALSE,FALSE,"D","In play, no out","FF","Four-Seam Fastball",3,2,0,1,90.2,83.1,3.301,1.504,5,0.89,0.4162,6.2799,25.8341,-16.5585,3.8647,8.8843,-0.0037,2.6599,-5.8251,-131.2397,-5.4798,117.14,166.96,1.7349,50.0001,5.994,6.791,18,4.8,24,2220,147,109.7,15,256,"line_drive","hard","7",69.22,113.82,NA,"playLog","hitting",514917,634007
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1f70d38d-a4a1-44ae-bb42-9c83efa24436",5,"2021-05-23T17:44:52.435Z","2021-05-23T17:45:01.008Z",TRUE,"pitch","Ball In Dirt","*B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,0,2,FALSE,FALSE,"*B","Ball In Dirt","SI","Sinker",4,1,2,2,87.6,82.2,3.2549,1.4534,14,2,0.4262,6.3391,20.7567,-22.0901,7.104,5.9941,0.6813,0.5886,-5.3919,-127.4374,-8.9752,91.03,222.89,1.8788,50.0008,5.8374,11.9419,25.2,6,24,2199,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",514917,634007
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4b8bcf86-9391-406e-a9d1-663985f31a02",2,"2021-05-23T18:42:41.304Z","2021-05-23T18:42:55.746Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,5,3,FALSE,FALSE,"D","In play, no out","SI","Sinker",1,0,0,5,87.9,81.9,3.301,1.504,12,0.92,0.4247,6.1869,22.1134,-23.6352,7.5194,5.048,1.0408,2.6535,-4.5005,-128.1158,-4.0343,77.33,167.13,1.8276,50.0026,6.0578,12.7192,26.4,6,24,2116,148,80.6,59,215,"fly_ball","medium","4",189.32,140.79,NA,"playLog","hitting",514917,634007
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"29d8e391-9cca-4228-9989-f6b8ebac4660",4,"2021-05-23T19:25:46.670Z","2021-05-23T19:25:57.283Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,5,4,TRUE,FALSE,"X","In play, out(s)","FF","Four-Seam Fastball",2,1,1,7,89.1,81.9,3.301,1.504,2,0.89,0.4214,6.2539,25.7998,-13.5565,0.0367,10.8663,-0.1175,3.3672,-2.4914,-129.7251,-4.1637,121.48,147.87,0.8484,50.0021,6.0184,0.063,1.2,3.6,24,2339,164,92.4,43,314,"fly_ball","medium","8",135.69,73.88,NA,"playLog","hitting",514917,634007
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"f64cbc58-e06f-4b3e-a970-72de55f767ea",8,"2021-05-23T20:11:19.691Z","2021-05-23T20:11:26.787Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,5,4,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,2,0,9,96.5,89.7,3.1093,1.3761,11,2,0.3867,6.1305,26.7727,-15.1597,-7.8101,8.3429,-2.0539,3.391,-0.407,-140.7061,-2.8095,195.29,147.22,-0.8906,50.0055,5.3638,-15.9314,45.6,4.8,24,2238,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",514917,634007
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"06795561-afe6-4abb-8881-6b4c8c21172a",4,"2021-05-23T20:55:25.244Z","2021-05-23T20:55:29.664Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(153, 171, 0, 1.0)",FALSE,TRUE,FALSE,8,5,TRUE,FALSE,"S","Swinging Strike","KC","Knuckle Curve",1,3,3,10,84.9,79.4,3.301,1.504,9,0.9,0.4417,6.559,21.9591,-40.3391,1.3369,-5.2291,0.7625,1.4569,8.754,-123.479,-2.3767,87.94,199.44,-2.9857,50.0031,5.7896,2.0858,4.8,10.8,24,2552,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",514917,634007
