"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","play_index","play_pfx_id","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,19,0,19,".000",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456078,447143
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456078,447143
"3","gameLog","hitting",NA,0,1,"1.000",NA,NA,NA,NA,NA,NA,0,"3-5 | HR, 2 BB, K",1,0,1,2,0,0,1,1,2,0,3,0,5,0,0,7,6,3,2,0,0,0,"5.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456078,447143
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"160424_135003","f08ca1bc-0c0b-4d4d-90b7-e5b7860ab876",4,"2016-04-24T20:49:52.002Z","2016-04-24T20:49:58.596Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,0,1,FALSE,FALSE,"D","In play, no out","SI","Sinker",2,1,0,2,92.7,86,3.51,1.51,12,2,27.93,-21.662,10.19,5.55,1.052,2.649,-3.158,-135.828,-4.296,76.9,167.26,0.901,50,5.745,19.167,39.6,6,24,2334,118,79.7,17,215,"line_drive","soft","8",135.03,89.52,NA,"playLog","hitting",456078,447143
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"160424_142336","1bff7fbe-7d67-47e3-b2c4-76c3bc60db08",4,"2016-04-24T21:23:32.482Z","2016-04-24T21:23:49.729Z",TRUE,"pitch","In play, run(s)","E","rgba(26, 86, 190, 1.0)","rgba(0, 0, 254, 1.0)",TRUE,FALSE,FALSE,3,4,FALSE,FALSE,"E","In play, run(s)","SL","Slider",1,2,2,3,85.2,78.9,3.51,1.51,7,2,25.11,-29.707,2.43,1.52,-0.35,1.668,-3.801,-124.808,-3.862,130.34,193.74,0.877,50,5.681,3.826,6,8.4,24,529,122,102.9,23,344,"line_drive","medium","7",8.63,79.86,NA,"playLog","hitting",456078,447143
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"160424_153537","08b26f18-b575-464d-8b24-b1ba404e213e",5,"2016-04-24T22:35:23.969Z","2016-04-24T22:35:26.251Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,8,4,FALSE,FALSE,"B","Ball","SI","Sinker",4,1,0,6,91.3,84,3.69,1.51,9,2,29.745,-22.047,8.77,5.56,0.824,2.07,-3.396,-133.804,-4.892,85.59,182.89,0.974,50,5.509,15.84,33.6,6,24,2038,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",456078,447143
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"160424_161541","627d6271-a9d1-453f-a0b5-941f35eaa173",8,"2016-04-24T23:15:25.873Z","2016-04-24T23:15:29.356Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,8,5,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,2,0,8,92.2,84.9,3.59,1.51,14,2,28.654,-10.337,-4.87,11.79,1.449,2.443,7.843,-134.851,-6.006,61.77,172.82,-0.86,50,5.425,-8.998,32.4,3.6,24,2540,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",456078,447143
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"160424_164950","01402b12-0530-415d-b539-38edd47ed22f",5,"2016-04-24T23:49:35.151Z","2016-04-24T23:49:37.662Z",TRUE,"pitch","Called Strike","C","rgba(170, 21, 11, 1.0)","rgba(152, 0, 101, 1.0)",FALSE,TRUE,FALSE,8,8,TRUE,FALSE,"C","Called Strike","FC","Cutter",2,3,3,9,88.7,81.8,3.65,1.42,8,2,28.884,-28.77,4.01,1.96,0.217,1.753,2.78,-129.917,-5.62,108.73,191.45,-1.39,50,6.149,6.817,13.2,7.2,24,850,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",456078,447143
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"160424_173429","cdbff4c2-2dfa-436b-8975-040d55e20918",4,"2016-04-25T00:34:12.661Z","2016-04-25T00:34:17.788Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,8,8,TRUE,FALSE,"X","In play, out(s)","CH","Changeup",2,1,3,11,80.5,74.2,3.51,1.51,6,2,22.79,-24.263,6.74,5.58,0.672,2.399,-5.9,-117.885,-2.357,91.38,174.01,2.333,50,5.655,9.474,19.2,7.2,24,1518,129,59.2,-43,4,"ground_ball","medium","5",116.76,174.97,NA,"playLog","hitting",456078,447143
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"160424_183200","96f5275c-bbe6-40e9-9785-6041f48d0061",6,"2016-04-25T01:31:41.097Z","2016-04-25T01:31:49.752Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,12,10,FALSE,FALSE,"D","In play, no out","FF","Four-Seam Fastball",2,2,0,13,98.9,91.3,3.51,1.51,2,2,32.275,-18.67,-6.03,6.29,0.114,3.285,7.185,-144.814,-2.96,112.65,150.08,-1.611,50,5.455,-12.857,30,4.8,24,1867,223,107,8,179,"line_drive","hard","7",74.11,106.31,NA,"playLog","hitting",456078,447143
