"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_runner_going","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,4,1,5,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592261,491894
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592261,491894
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"3-5 | BB, R",1,1,1,1,0,0,0,0,1,0,3,0,5,0,0,6,3,0,2,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592261,491894
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"-.--","R",1,0,".000","1.000",".000","1.000",6,".---","-.--",140,"Texas Rangers","/api/v1/teams/140",110,"Baltimore Orioles","/api/v1/teams/110",501697,"Jhan Marinez","/api/v1/people/501697","Jhan","Marinez",592261,"Delino DeShields","/api/v1/people/592261","Delino","DeShields",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",592261,491894
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"a41f8aa7-29d3-40bf-bedb-761cb3b926fd",4,"2017-08-17T00:19:07.767Z","2017-08-17T00:19:17.377Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,1,0,TRUE,FALSE,NA,"X","In play, out(s)","SI","Sinker",2,1,1,1,90.3,83.5,3.1957,1.2871,2,2,0.4136,6.5332,24.8882,-23.0373,-7.2036,5.1637,-0.2527,2.9505,2.1875,-131.4423,-2.8649,129.28,161.58,-0.1542,50,5.7437,-12.746,27.6,6,24,1935,238,83.5,45,273,"fly_ball","medium","9",168.42,92.69,NA,"playLog","hitting",592261,491894
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"6722286e-3188-44f8-8f5f-c0dea336cfb2",3,"2017-08-17T00:44:53.878Z","2017-08-17T00:45:04.756Z",TRUE,"pitch","In play, out(s)","X","rgba(26, 86, 190, 1.0)","rgba(119, 0, 152, 1.0)",TRUE,FALSE,FALSE,2,2,TRUE,FALSE,NA,"X","In play, out(s)","FS","Splitter",0,2,3,2,86.1,78.9,3.1957,1.2871,7,2,0.4352,6.7007,26.1048,-25.592,-9.0662,4.1589,-0.4624,1.7485,2.4248,-125.2333,-4.8699,134.63,191.57,-0.2676,50,5.8203,-14.3485,27.6,7.2,24,1412,252,57.2,-15,9,"ground_ball","medium","5",107.56,176.19,NA,"playLog","hitting",592261,491894
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"be302dc7-cec2-42f1-82af-dfffdc60594a",6,"2017-08-17T01:35:36.451Z","2017-08-17T01:35:41.556Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(50, 0, 221, 1.0)",FALSE,FALSE,TRUE,4,4,FALSE,FALSE,TRUE,"B","Ball","SI","Sinker",4,2,1,4,92.4,84.1,3.3286,1.6072,13,2,0.4064,6.8123,30.7038,-16.0367,6.5604,8.9343,-0.5235,1.1247,-6.9523,-133.9917,-9.189,137.01,207.66,1.2605,50,5.7599,11.8496,30,4.8,24,2181,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",592261,491894
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"e99bb27e-9fdf-4342-ace8-de45fa758bc4",1,"2017-08-17T02:31:16.555Z","2017-08-17T02:31:28.233Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,4,5,FALSE,FALSE,NA,"D","In play, no out","CH","Changeup",0,0,0,6,91.3,84.8,3.1953,1.2866,3,2,0.4017,7.4788,23.4937,-24.0945,-9.0624,4.4532,0.2792,2.6361,11.6264,-132.6454,-2.7838,106.36,167.61,-2.9462,50,5.4214,-16.4423,30,6,24,2198,245,NA,NA,NA,"bunt_grounder","medium","1",125.83,193.48,NA,"playLog","hitting",592261,491894
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"e99d7444-1606-4463-a2e2-81b17ed42101",4,"2017-08-17T03:07:29.926Z","2017-08-17T03:07:44.340Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",TRUE,FALSE,FALSE,4,9,FALSE,FALSE,NA,"D","In play, no out","SI","Sinker",2,1,1,7,93.7,86.4,3.195,1.2864,4,2,0.4004,6.3995,27.3679,-18.5,-10.4782,7.2133,-0.7205,2.5442,6.3556,-136.2055,-6.1796,146.84,171.42,-1.712,50,6.1032,-19.8633,43.2,6,24,2048,238,97.3,-6,22,"ground_ball","medium","7",77.25,118.98,NA,"playLog","hitting",592261,491894
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"ac2dd7fc-10f6-44de-a25a-d700f9d81303",3,"2017-08-17T03:41:23.557Z","2017-08-17T03:41:35.703Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,4,12,FALSE,FALSE,NA,"D","In play, no out","FF","Four-Seam Fastball",0,2,2,8,94.6,88,3.195,1.2864,5,2,0.3956,6.372,25.1225,-15.602,-5.747,8.5043,0.1157,2.3139,5.7111,-137.4441,-8.1389,114.27,176.51,-1.224,50,6.3336,-11.199,31.2,3.6,24,2151,215,93.9,7,120,"ground_ball","medium","7",83.2,112.64,NA,"playLog","hitting",592261,491894
