"","type","group","games_started","caught_stealing","stolen_bases","stolen_base_percentage","assists","put_outs","errors","chances","fielding","passed_ball","pickoffs","summary","games_played","fly_outs","ground_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","at_bats","ground_into_double_play","ground_into_triple_play","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","catchers_interference","at_bats_per_home_run","game_type","num_teams","air_outs","avg","obp","slg","ops","number_of_pitches","babip","ground_outs_to_airouts","team_id","team_name","team_link","opponent_id","opponent_name","opponent_link","pitcher_id","pitcher_full_name","pitcher_link","pitcher_first_name","pitcher_last_name","batter_id","batter_full_name","batter_link","batter_first_name","batter_last_name","play_index","play_play_id","play_pitch_number","play_start_time","play_end_time","play_is_pitch","play_type","play_details_description","play_details_code","play_details_ball_color","play_details_trail_color","play_details_is_in_play","play_details_is_strike","play_details_is_ball","play_details_away_score","play_details_home_score","play_details_is_out","play_details_has_review","play_details_call_code","play_details_call_description","play_details_type_code","play_details_type_description","play_count_balls","play_count_strikes","play_count_outs","play_count_inning","play_pitch_data_start_speed","play_pitch_data_end_speed","play_pitch_data_strike_zone_top","play_pitch_data_strike_zone_bottom","play_pitch_data_zone","play_pitch_data_type_confidence","play_pitch_data_plate_time","play_pitch_data_extension","play_pitch_data_coordinates_a_y","play_pitch_data_coordinates_a_z","play_pitch_data_coordinates_pfx_x","play_pitch_data_coordinates_pfx_z","play_pitch_data_coordinates_p_x","play_pitch_data_coordinates_p_z","play_pitch_data_coordinates_v_x0","play_pitch_data_coordinates_v_y0","play_pitch_data_coordinates_v_z0","play_pitch_data_coordinates_x","play_pitch_data_coordinates_y","play_pitch_data_coordinates_x0","play_pitch_data_coordinates_y0","play_pitch_data_coordinates_z0","play_pitch_data_coordinates_a_x","play_pitch_data_breaks_break_angle","play_pitch_data_breaks_break_length","play_pitch_data_breaks_break_y","play_pitch_data_breaks_spin_rate","play_pitch_data_breaks_spin_direction","play_hit_data_launch_speed","play_hit_data_launch_angle","play_hit_data_total_distance","play_hit_data_trajectory","play_hit_data_hardness","play_hit_data_location","play_hit_data_coordinates_coord_x","play_hit_data_coordinates_coord_y","total_splits","type_display_name","group_display_name","player_id","game_pk"
"1","gameLog","fielding",1,0,0,".---",0,1,0,1,".000",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621311,634630
"2","gameLog","pitching",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621311,634630
"3","gameLog","hitting",NA,0,0,".---",NA,NA,NA,NA,NA,NA,0,"3-5 | 2B, BB, 2 K",1,0,0,2,1,0,0,2,1,0,3,0,5,0,0,6,4,0,0,0,0,0,"-.--",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621311,634630
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"-.--","R",1,0,".000",".000",".000",".000",2,".000","1.00",140,"Texas Rangers","/api/v1/teams/140",118,"Kansas City Royals","/api/v1/teams/118",451584,"Wade Davis","/api/v1/people/451584","Wade","Davis",621311,"David Dahl","/api/v1/people/621311","David","Dahl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"vsPlayer5Y","hitting",621311,634630
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"1c597490-9757-457e-a5f8-4ec8f532d08d",7,"2021-04-01T20:14:49.077Z","2021-04-01T20:15:03.740Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(188, 0, 33, 1.0)",TRUE,FALSE,FALSE,0,0,FALSE,FALSE,"D","In play, no out","FF","Four-Seam Fastball",3,2,0,1,94.6,86.7,3.467,1.589,5,2,0.3978,5.7352,30.8362,-18.9092,1.2381,6.9113,0.2189,2.8495,3.9478,-137.7236,-5.6293,108.66,161.84,-1.3945,50.0033,6.2006,2.3757,9.6,4.8,24,2175,197,107.7,23,380,"fly_ball","hard","9",213.09,71.63,NA,"playLog","hitting",621311,634630
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"998e1ab2-e1ad-4c8d-817a-690b9a212522",2,"2021-04-01T21:01:40.366Z","2021-04-01T21:01:54.955Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(0, 85, 254, 1.0)",TRUE,FALSE,FALSE,5,5,FALSE,FALSE,"D","In play, no out","CH","Changeup",0,1,0,2,88.8,81.4,3.467,1.589,13,2,0.4245,5.5508,27.5895,-19.8775,-7.9658,7.3035,-1.1068,1.7166,3.1616,-129.1489,-7.5925,159.19,192.43,-1.3136,50.0061,6.2304,-13.422,31.2,6,24,2022,197,81.1,-1,30,"ground_ball","medium","4",135.4,144.39,NA,"playLog","hitting",621311,634630
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8756a45a-aee9-4731-ba51-db17a19a9d66",2,"2021-04-01T21:34:47.514Z","2021-04-01T21:34:58.204Z",TRUE,"pitch","In play, no out","D","rgba(26, 86, 190, 1.0)","rgba(119, 0, 152, 1.0)",TRUE,FALSE,FALSE,6,5,FALSE,FALSE,"D","In play, no out","FS","Splitter",0,1,0,3,88.3,80.1,3.467,1.589,4,2,0.4281,6.4633,29.2859,-19.3511,-6.981,7.7517,-0.5215,2.8232,2.8511,-128.4753,-4.0112,136.88,162.55,-0.7454,50.0016,5.9295,-11.5435,28.8,6,24,1576,205,79.4,4,67,"ground_ball","medium","9",157.6,146.88,NA,"playLog","hitting",621311,634630
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"6071ab3a-9ceb-4350-849c-b09aa95cdbfe",4,"2021-04-01T22:46:38.831Z","2021-04-01T22:46:49.265Z",TRUE,"pitch","Swinging Strike","S","rgba(170, 21, 11, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,TRUE,FALSE,8,10,TRUE,FALSE,"S","Swinging Strike","FF","Four-Seam Fastball",0,3,3,5,99.1,89.7,3.467,1.589,4,2,0.3817,6.5348,36.4743,-10.003,-6.8309,10.6525,-0.5033,2.6084,3.0518,-144.0479,-6.8526,136.19,168.35,-0.6949,50.0002,5.6512,-14.2146,49.2,3.6,24,2376,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",621311,634630
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"addf2091-e612-4601-907b-e6241ecf2ed9",4,"2021-04-01T23:29:31.305Z","2021-04-01T23:29:38.185Z",TRUE,"pitch","Swinging Strike (Blocked)","W","rgba(170, 21, 11, 1.0)","rgba(0, 34, 255, 1.0)",FALSE,TRUE,FALSE,9,10,TRUE,FALSE,"W","Swinging Strike (Blocked)","CU","Curveball",1,3,3,7,80,74.6,3.467,1.589,14,2,0.4691,6.3773,21.022,-39.0982,8.2793,-5.0043,1.3951,0.5382,2.0437,-116.5608,-2.7637,63.82,224.25,-0.5681,50.0053,5.4154,11.4437,16.8,12,24,2511,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",621311,634630
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"1ded21f3-8ca7-4fca-ab48-54d0dfb11922",7,"2021-04-02T00:24:31.238Z","2021-04-02T00:24:39.640Z",TRUE,"pitch","Ball","B","rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",FALSE,FALSE,TRUE,9,14,FALSE,FALSE,"B","Ball","FF","Four-Seam Fastball",4,2,1,9,94.1,86.7,3.2058,1.3714,14,2,0.3992,6.0899,28.6118,-13.1262,-0.6859,9.9777,0.0351,1.0967,0.83,-136.8992,-9.783,115.66,209.17,-0.1821,50.0003,5.6021,-1.3092,4.8,3.6,24,2292,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,"playLog","hitting",621311,634630
